iter	Passed	Remaining
0	138	137979
1	140	70304
2	143	47724
3	146	36484
4	149	29714
5	152	25196
6	154	21982
7	157	19559
8	160	17673
9	163	16172
10	166	14941
11	169	13922
12	172	13059
13	174	12319
14	177	11672
15	180	11113
16	183	10615
17	186	10173
18	189	9777
19	192	9416
20	195	9094
21	197	8799
22	200	8527
23	203	8277
24	206	8047
25	209	7835
26	212	7644
27	214	7459
28	217	7287
29	220	7127
30	223	6978
31	227	6876
32	230	6768
33	234	6651
34	237	6536
35	240	6428
36	242	6323
37	246	6232
38	249	6136
39	251	6043
40	254	5956
41	257	5875
42	260	5805
43	263	5730
44	266	5657
45	269	5587
46	272	5522
47	275	5459
48	278	5398
49	281	5339
50	283	5282
51	286	5227
52	289	5175
53	292	5124
54	295	5072
55	298	5025
56	301	4980
57	304	4944
58	307	4907
59	310	4870
60	314	4835
61	317	4803
62	320	4769
63	324	4738
64	327	4709
65	330	4681
66	334	4663
67	338	4636
68	341	4610
69	344	4582
70	348	4557
71	351	4531
72	354	4506
73	358	4480
74	361	4458
75	364	4434
76	367	4410
77	371	4387
78	374	4364
79	377	4343
80	381	4324
81	384	4305
82	388	4287
83	391	4269
84	394	4250
85	398	4231
86	401	4214
87	405	4197
88	408	4184
89	411	4164
90	414	4142
91	417	4120
92	420	4099
93	423	4085
94	426	4065
95	429	4044
96	432	4024
97	435	4005
98	438	3986
99	441	3971
100	444	3953
101	446	3934
102	449	3917
103	452	3900
104	456	3887
105	459	3872
106	462	3855
107	464	3839
108	468	3826
109	471	3811
110	473	3796
111	476	3780
112	479	3765
113	482	3750
114	485	3734
115	488	3720
116	491	3705
117	493	3691
118	496	3676
119	499	3663
120	502	3649
121	505	3635
122	507	3621
123	510	3608
124	513	3596
125	517	3586
126	520	3576
127	523	3564
128	525	3551
129	528	3539
130	531	3527
131	534	3514
132	537	3503
133	540	3491
134	543	3479
135	546	3469
136	548	3457
137	551	3446
138	554	3435
139	557	3424
140	560	3413
141	563	3403
142	566	3392
143	568	3382
144	571	3371
145	574	3362
146	577	3351
147	580	3341
148	583	3330
149	586	3321
150	589	3311
151	592	3304
152	595	3294
153	598	3285
154	600	3275
155	603	3267
156	606	3258
157	609	3248
158	612	3239
159	615	3230
160	618	3222
161	621	3213
162	624	3204
163	626	3195
164	629	3186
165	632	3178
166	635	3169
167	638	3160
168	641	3152
169	643	3144
170	646	3135
171	649	3128
172	652	3120
173	655	3112
174	658	3104
175	661	3096
176	664	3088
177	667	3080
178	669	3072
179	672	3064
180	675	3056
181	678	3050
182	681	3042
183	684	3035
184	687	3027
185	690	3019
186	692	3012
187	696	3007
188	699	3000
189	702	2994
190	705	2987
191	708	2980
192	711	2973
193	713	2966
194	717	2961
195	720	2956
196	723	2950
197	727	2945
198	729	2938
199	733	2934
200	736	2928
201	739	2921
202	742	2915
203	745	2908
204	748	2902
205	751	2897
206	754	2891
207	758	2889
208	763	2890
209	767	2888
210	770	2882
211	773	2875
212	776	2869
213	779	2862
214	782	2856
215	785	2849
216	788	2843
217	790	2836
218	793	2830
219	796	2823
220	799	2817
221	802	2811
222	805	2804
223	807	2798
224	810	2792
225	813	2786
226	816	2780
227	819	2773
228	822	2768
229	825	2762
230	827	2755
231	831	2750
232	833	2745
233	836	2739
234	839	2733
235	842	2726
236	845	2720
237	847	2714
238	850	2708
239	853	2702
240	856	2696
241	859	2690
242	862	2687
243	865	2681
244	868	2675
245	871	2669
246	873	2664
247	876	2658
248	879	2653
249	882	2647
250	885	2642
251	888	2636
252	891	2631
253	894	2627
254	897	2623
255	900	2617
256	903	2612
257	906	2606
258	909	2601
259	912	2597
260	915	2591
261	918	2586
262	920	2580
263	923	2575
264	926	2570
265	930	2566
266	932	2561
267	935	2555
268	938	2550
269	941	2544
